departamentos,key_fecha,programatica1_ano,id_detail,pct_cobertura
META,1,16994,548,0.85
META,1,16994,549,0.84
META,1,16994,550,0.84
META,1,16994,551,0.83
META,1,16994,552,0.69
NARIÑO,1,21816,553,0.88
NARIÑO,1,21816,554,0.86
NARIÑO,1,21816,555,0.89
NARIÑO,1,21816,556,0.88
NARIÑO,1,21816,557,0.89
NARIÑO,1,21816,558,0.88
NARIÑO,1,21816,559,0.88
NARIÑO,1,21816,560,0.87
NARIÑO,1,21816,561,0.87
NARIÑO,1,21816,562,0.53
NARIÑO,1,21816,563,0.44
NARIÑO,1,21816,564,0.88
NARIÑO,1,21816,565,0.87
NARIÑO,1,21816,566,0.92
NARIÑO,1,21816,567,0.91
NARIÑO,1,21816,568,0.76
NARIÑO,1,21816,569,0.9
NARIÑO,1,21816,570,0.85
NARIÑO,1,21816,571,0.85
NARIÑO,1,21816,572,0.94
NARIÑO,1,21816,573,0.94
NARIÑO,1,21816,574,0.94
NARIÑO,1,21816,575,0.73
NORTE DE SANTANDER,1,23929,576,0.88
NORTE DE SANTANDER,1,23929,577,0.87
NORTE DE SANTANDER,1,23929,578,0.91
NORTE DE SANTANDER,1,23929,579,0.94
NORTE DE SANTANDER,1,23929,580,0.91
NORTE DE SANTANDER,1,23929,581,0.91
NORTE DE SANTANDER,1,23929,582,0.94
NORTE DE SANTANDER,1,23929,583,0.89
NORTE DE SANTANDER,1,23929,584,0.89
NORTE DE SANTANDER,1,23929,585,0.81
NORTE DE SANTANDER,1,23929,586,0.54
NORTE DE SANTANDER,1,23929,587,0.93
NORTE DE SANTANDER,1,23929,588,0.88
NORTE DE SANTANDER,1,23929,589,0.95
NORTE DE SANTANDER,1,23929,590,0.95
NORTE DE SANTANDER,1,23929,591,0.7
NORTE DE SANTANDER,1,23929,592,0.91
NORTE DE SANTANDER,1,23929,593,0.81
NORTE DE SANTANDER,1,23929,594,0.82
NORTE DE SANTANDER,1,23929,595,0.89
NORTE DE SANTANDER,1,23929,596,0.89
NORTE DE SANTANDER,1,23929,597,0.89
NORTE DE SANTANDER,1,23929,598,0.73
PUTUMAYO,1,5544,599,0.75
PUTUMAYO,1,5544,600,0.72
PUTUMAYO,1,5544,601,0.83
PUTUMAYO,1,5544,602,0.85
PUTUMAYO,1,5544,603,0.83
PUTUMAYO,1,5544,604,0.84
PUTUMAYO,1,5544,605,0.85
PUTUMAYO,1,5544,606,0.8
PUTUMAYO,1,5544,607,0.82
PUTUMAYO,1,5544,608,0.6
PUTUMAYO,1,5544,609,0.49
PUTUMAYO,1,5544,610,0.83
PUTUMAYO,1,5544,611,0.84
PUTUMAYO,1,5544,612,0.89
PUTUMAYO,1,5544,613,0.87
PUTUMAYO,1,5544,614,0.77
PUTUMAYO,1,5544,615,0.87
PUTUMAYO,1,5544,616,0.82
PUTUMAYO,1,5544,617,0.83
PUTUMAYO,1,5544,618,0.89
PUTUMAYO,1,5544,619,0.89
PUTUMAYO,1,5544,620,0.89
PUTUMAYO,1,5544,621,0.65
QUINDIO,1,5981,622,1.02
QUINDIO,1,5981,623,1.01
